graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_beta_15,median_beta_16,median_beta_17,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_gamma_0,median_gamma_1,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14,median_gamma_15,median_gamma_16,median_gamma_17,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9
3-Regular Graph,cauchy,18,-0.15710835540696244,0.4525096940952308,-0.23341386090531338,0.420298238293534,0.445979135381843,1.5423196368852221,-1.3136675417247459,0.10099358107315058,0.15446517729220532,-1.5181252918789245,2.1109202736529773,0.23565735489506712,0.43581099384886174,0.2994087327428505,-0.48794916304986147,0.3429208689282171,1.9226031007367472,0.5416389284197038,0.7462951438653376,0.4364190643511007,0.31165204002395963,-0.18611457263954295,0.7399144899209125,0.4021094189003961,1.0415033103647087,-2.3160170463470604,0.5273086853971375,-0.08346141207307485,0.43696570698052606,0.14159357114288312,1.155000527751746,1.2537162913565028,0.4501305587301914,2.096141607638959,0.9367137128306793,1.4414796855190612
3-Regular Graph,exponential,18,0.09704700933904452,-0.5707508319153165,-1.2296926935522892,-0.3748506333888255,-0.7785590685891898,0.9502199486895099,0.7323760407396759,0.6944336818128101,0.4367123950795762,-0.4622628599311679,0.13076877888158647,-0.10571763134532483,0.5109081845570247,-0.10688769139593149,-0.4552664724687469,0.7745670437442789,-0.14727110845281924,-0.19903530725737303,1.0966831679048903,-1.1131265390831087,-1.9462021453437477,2.8636304195742595,1.2422111796347581,3.1477462417208475,-0.08648187641875238,-2.8025337393438656,-3.641635458217234,3.1901712400905047,1.99007934022025,-2.6890237669800277,1.257883448101139,-1.542524669357364,-1.1449647264942062,1.9742929033897418,1.2228198201849523,0.4681813643090486
3-Regular Graph,log-normal,18,-0.8938599354225388,0.460371527598035,-0.48874688750798734,-0.06849892843236406,1.4931139591648408,1.0691312490178864,1.7176448175399,-0.6394743147995214,0.7501529148021933,1.3986636243162092,-0.3619220392074754,1.1289737136621882,0.10090482132015732,-0.3395643774600438,0.9002158040773989,0.8493911929780453,1.31632126930219,-0.15498391701011577,1.1583293251369755,-1.1854332249721018,-2.4186525396550493,-3.0325890675120415,-2.7963327890013288,1.8037837426929697,1.3673093452917175,-0.01246528609879631,2.251944354339423,-4.65907015202622,1.4689302014511971,-0.8804906264333231,1.3030407768353711,1.4883527527964528,2.4560230106239165,0.8014260061104649,0.661479098481873,3.97792524880499
3-Regular Graph,normal,18,-0.3136848512809673,-0.5544455989789638,0.21911673541327786,0.9677735341996889,0.17216451988928244,-2.0874193135483607,0.9220161839191515,-0.12330432442174472,0.8698996427988064,-0.19931613715400326,1.012991220396022,-0.04057205208579932,-0.040443959016178074,1.654894567203942,-0.3442504977390477,-1.1396089796138957,-0.008463205194302369,0.13649611805943876,0.884742803027579,1.6606394982061972,1.5440774509032684,0.0612869639886577,-1.0448908412307347,1.8873694038221869,0.8685063685803238,-0.8575105486051408,-2.5014479807577295,-1.7692635497123186,0.23470352487677304,-1.1322265271441252,-2.0035729700371756,-1.314799604314216,1.2813507672225808,0.5298727135304417,-1.9303103797754761,0.49051146252598143
3-Regular Graph,uniform,18,-0.6308566258064511,0.5967792253398387,0.8230182509616251,-0.4464036364784749,-0.021280839548850225,-0.020444656152700576,0.23906654784665637,0.6332110665175902,-0.6039807500533342,0.8359069568392061,-0.4167672584022265,-0.2257785990847772,-0.5849494853260064,-0.8297393092926117,0.6837410296995465,-0.2740065164148145,0.60804747918645,1.1906576437333989,-1.0029760666920258,-1.0632648261134496,-1.5182741981727506,-0.312784100841096,-2.381823139937177,0.39920211763383,2.2708691104483725,1.8292933123034385,0.279381330259744,-2.277561841729741,1.7001654805218749,0.006597763956263195,1.643716674311647,2.146225392425161,-1.4871666652711162,-1.8640656841030356,-2.7023694685205104,-0.7073752112491302
3-Regular Graph,uniform_plus,18,0.32329466546312496,-0.16207009557588178,0.2662713019783769,-0.7435743917479627,-0.28841486597056404,-0.560260436966304,0.14566107406974962,1.286574904627681,0.08628037384731096,0.02804601007706537,-0.28062558537664617,-0.4661444801656159,-0.6885314336219263,-0.20776047357195196,-1.8161112496241314,-1.350997805830066,-0.3660449849704817,1.4506486859352896,-0.9030571565150026,-0.3862130492561337,1.1640366680375263,0.4453034400754803,0.3008822764900753,-0.34650271194523374,0.5425954016283989,3.2878405586042665,0.10749828359876717,-0.5403086423623716,-2.139590287108819,-2.4776032546348783,0.4467922961603174,-0.15948374947074476,-1.131648752769366,-2.3397053530880694,0.11997485823258723,-1.0207591822380975
4-Regular Graph,cauchy,18,0.3555149177305458,-0.4986373927666971,-0.4608379190605253,0.05120957430822885,0.17739690422768173,-0.5230554010438623,-0.8200434955568098,0.05555255321285804,0.127100671193673,1.7824303488813038,-0.48166756821759515,0.09051306986223974,-0.40288762873166706,0.7074014555099581,0.6225628959533863,0.6412459373817201,-0.2557917304195424,0.2401363563112226,-0.3957435653882666,-1.3357698001394505,1.4798877234587349,-0.2530166380889993,-0.8718163361030964,0.4191554271469571,0.5595471139906272,-0.05829654419092459,-2.0228564729342056,0.2840463856634048,0.9741624745808733,-2.1237000286959726,1.534564861929552,-1.027053208257004,0.6182144805805895,-1.135708948678899,2.009332838740752,-0.41514261179397577
4-Regular Graph,exponential,18,-0.049628885642356076,0.3929741494754653,0.3448473104988778,-0.05425606598559869,0.7018565830482054,1.190052154011252,0.528656113191942,-0.12224773035463031,1.0379158178716723,-1.5289642697898869,0.07087767879650145,1.338755238318292,-0.4055393616635525,0.3930752902411489,0.13736181283136611,-0.6836383091311968,-0.13402527663408148,0.035727165602140905,0.8223041764668299,2.030102035383553,0.599161661864571,1.0257833674431196,-0.8406015557891783,-2.8569771333773475,0.640604816666413,-0.26824624683340703,0.2909666104369719,0.7118011279864066,-3.408995788389852,0.3009391184773802,-2.1846115580858116,2.352614633734392,0.3541984936986647,-0.6952603987297259,0.7044937221075921,0.5291114214357179
4-Regular Graph,log-normal,18,0.974480031225943,0.4046086937023062,-0.3783150856560862,-0.12784908762264918,-1.3511984704769722,0.3811891060682586,1.4534821756373113,0.13205966873780806,-0.3116657870697044,0.21851288816030004,0.2047783071054231,0.9932447170161072,-0.12280980109048945,-0.2868849458118482,-0.39947809185973704,1.691001401195109,0.7819587072077322,0.7713114228791417,1.0545909902496062,-0.8490174177931039,-2.8698328181657646,0.8600483159748515,-3.3952908157133472,-0.8862708571741562,0.8997191523683674,0.9997917639529493,0.6715730343537797,0.08375147241484476,0.6703023243765436,-1.8988165923575262,1.1743252554526757,-2.132243758408419,-2.5137706375878643,-0.6901354120172909,-3.2397905388072052,-1.6136074771575781
4-Regular Graph,normal,18,0.5615402787901099,0.7692216542356245,-0.2366794585381628,-0.10935393604087189,-0.827869326133206,-0.23300938429155155,-0.17836357523394236,-0.43907862938259007,-0.04240300754442532,1.272548991357836,0.4909486908309753,-0.3404910194821792,-0.005718765701113989,-0.28539627712483595,0.0958079854038642,-0.017584927400242742,-1.2677537818394977,-1.3086267673742646,0.5762320659376902,0.6298990817240226,0.45140627107424774,-1.8126067816460034,0.48725655292082337,-0.7435057829275797,0.04917218151777381,-3.030328562927928,-0.1903593012423213,0.08077096198291135,-1.121256946255177,0.20712147541913678,-1.0218525745677212,-1.9603218750089577,1.6581519379019494,-0.36264637413811707,0.7384704576551344,-1.0645197947354592
